,Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
913,HP,Notebook,15.6,1920x1080,8,Windows,2.04,0,0,Intel Core i7,256,0,0,Nvidia,91709.1
404,MSI,Gaming,17.3,1920x1080,16,Windows,2.8,0,0,Intel Core i7,1256,1000,0,Nvidia,202410.0
656,Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,256,0,0,AMD,82710.0
559,Dell,Notebook,15.6,1366x768,4,Windows,2.18,0,0,Intel Core i3,0,1000,0,AMD,55611.0
1036,HP,Notebook,15.6,1366x768,4,Windows,2.04,0,0,Intel Core i5,0,500,0,Intel,66780.0
997,Acer,Notebook,15.6,1366x768,4,Windows,2.4,0,0,Other Intel,0,500,0,Intel,34200.0
712,Dell,Notebook,15.6,1920x1080,8,Linux,1.98,0,0,Intel Core i5,0,1000,0,Intel,65340.0
828,Acer,Netbook,11.6,1366x768,4,Chrome ,1.35,0,1,Other Intel,0,0,32,Intel,31950.0
137,Asus,Gaming,17.3,1920x1080,8,Windows,3.0,0,0,Intel Core i5,1128,1000,0,Nvidia,84420.0
446,Acer,Notebook,15.6,1366x768,4,Linux,2.4,0,0,Intel Core i5,0,500,0,Intel,39762.0
862,Toshiba,Notebook,13.3,1920x1080,4,Windows,1.05,0,0,Intel Core i5,128,0,0,Intel,115650.0
93,Dell,Gaming,15.6,1920x1080,8,Windows,2.65,0,0,Intel Core i5,256,0,0,Nvidia,107550.0
426,Dell,Notebook,15.6,1920x1080,8,Windows,2.02,0,0,Intel Core i7,2256,2000,0,AMD,102816.0
1182,Dell,Notebook,15.6,1920x1080,8,Linux,1.98,0,0,Intel Core i7,256,0,0,Nvidia,80550.9
491,Toshiba,Ultrabook,13.3,1920x1080,32,Windows,1.05,1,0,Intel Core i7,512,0,0,Intel,251910.0
809,Lenovo,Notebook,15.6,1920x1080,4,Windows,2.4,0,0,Intel Core i5,0,1000,0,Nvidia,54810.0
569,Lenovo,Notebook,14.0,1366x768,4,Windows,2.02,0,0,Intel Core i5,0,500,0,Intel,89100.0
761,Dell,Ultrabook,12.5,1920x1080,16,Windows,1.18,0,0,Intel Core i7,256,0,0,Intel,167310.0
630,Asus,Ultrabook,14.0,1920x1080,16,Windows,1.1,0,0,Intel Core i7,512,0,0,Intel,171000.0
1048,Lenovo,Gaming,17.3,1920x1080,16,Windows,4.6,0,1,Intel Core i7,1128,1000,0,Nvidia,206099.1
911,HP,Ultrabook,12.5,3840x2160,8,Windows,1.09,1,0,Other Intel,240,0,0,Intel,279000.0
1103,HP,Workstation,17.3,1920x1080,8,Windows,3.0,0,1,Intel Core i7,0,1000,0,AMD,260910.0
1259,MSI,Gaming,15.6,1920x1080,8,Windows,2.4,0,0,Intel Core i7,1128,1000,0,Nvidia,110610.0
1207,Lenovo,Notebook,15.6,1366x768,4,Windows,2.2,0,0,AMD processor,0,500,0,AMD,26910.0
671,Lenovo,Notebook,15.6,1920x1080,8,Windows,1.9,0,0,Intel Core i5,1128,1000,0,AMD,73615.5
762,Google,Ultrabook,12.3,2400x1600,8,Chrome ,1.1,1,0,Intel Core i5,256,0,0,Intel,140310.0
1209,Asus,Gaming,15.6,1920x1080,16,Windows,2.2,0,0,Intel Core i7,1256,1000,0,Nvidia,220410.0
977,Asus,2 in 1 Convertible,15.6,3840x2160,16,Windows,2.3,1,0,Intel Core i7,2512,2000,0,Nvidia,161910.0
548,HP,Notebook,15.6,1920x1080,4,Windows,1.86,0,0,Intel Core i3,0,500,0,Intel,35730.0
32,HP,Notebook,17.3,1920x1080,4,Windows,2.71,0,0,AMD processor,0,500,0,AMD,39510.0
118,Asus,Notebook,17.3,1920x1080,4,Windows,2.0,0,0,Intel Core i3,0,1000,0,Nvidia,50760.0
356,Lenovo,Notebook,15.6,1366x768,4,No ,2.2,0,0,Other Intel,0,1000,0,Intel,28979.1
591,Lenovo,Notebook,15.6,1920x1080,12,Windows,2.2,0,0,AMD processor,512,0,0,AMD,85410.0
259,Lenovo,2 in 1 Convertible,15.6,1920x1080,8,Windows,2.0,1,1,Intel Core i7,512,0,0,Nvidia,152910.0
829,Acer,Notebook,14.0,1920x1080,8,Windows,1.5,0,1,Intel Core i3,128,0,0,Intel,55710.0
147,Asus,Notebook,15.6,1920x1080,4,Windows,2.0,0,0,Other Intel,0,1000,0,Intel,30960.0
1139,HP,Ultrabook,15.6,1920x1080,8,Windows,1.88,0,0,Intel Core i7,256,0,0,Intel,195454.8
978,HP,Notebook,15.6,1366x768,6,Windows,2.04,0,0,Intel Core i7,0,1000,0,Intel,52110.0
966,Dell,Notebook,15.6,1366x768,4,Windows,1.9,0,0,Intel Core i5,0,500,0,Intel,74250.0
790,Asus,Gaming,15.6,1920x1080,8,Windows,2.24,0,0,Intel Core i7,1128,1000,0,Nvidia,120510.0
354,Toshiba,Notebook,15.6,1920x1080,16,Windows,2.4,0,1,Intel Core i7,512,0,0,Nvidia,126270.0
902,Dell,2 in 1 Convertible,13.3,1920x1080,16,Windows,1.22,1,0,Intel Core i7,256,0,0,Intel,148410.0
355,Dell,Notebook,15.6,1920x1080,8,Windows,2.02,0,0,Intel Core i7,2128,2000,0,AMD,87381.0
74,Acer,Notebook,14.0,1366x768,8,Windows,2.1,0,0,Intel Core i3,0,1000,0,Intel,35010.0
594,Lenovo,Notebook,17.3,1920x1080,4,No ,2.8,0,0,Intel Core i3,0,500,0,Intel,47610.0
648,Toshiba,Notebook,13.3,1920x1080,8,Windows,1.2,0,0,Intel Core i5,256,0,0,Intel,109170.0
272,Dell,Notebook,15.6,1920x1080,8,Linux,2.14,0,0,Intel Core i7,256,0,0,AMD,66156.3
197,HP,Notebook,13.3,1920x1080,8,Windows,1.49,0,0,Intel Core i5,512,0,0,Intel,86310.0
45,Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,256,0,0,Intel,127710.0
882,Asus,Notebook,14.1,1366x768,4,Windows,1.65,0,0,Other Intel,0,0,32,Intel,31320.0
223,HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,0,Intel Core i5,0,1000,0,Intel,71460.0
1255,Asus,Notebook,15.6,1366x768,4,Windows,2.0,0,0,Other Intel,0,1000,0,Intel,30510.0
36,Acer,Notebook,15.6,1366x768,4,Linux,2.1,0,0,Intel Core i3,0,1000,0,Intel,33030.0
684,Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.19,1,1,Intel Core i7,512,0,0,Intel,134910.0
367,Lenovo,Gaming,15.6,1920x1080,8,No ,2.4,0,1,Intel Core i5,1128,1000,0,Nvidia,72810.0
294,Lenovo,Notebook,15.6,1920x1080,8,Windows,2.05,0,0,Intel Core i5,256,0,0,Intel,66510.0
481,Dell,Notebook,15.6,1366x768,4,Windows,2.18,0,0,Intel Core i3,0,1000,0,Intel,52794.0
626,Mediacom,Notebook,14.0,1920x1080,2,Windows,1.4,0,0,Other Intel,0,0,32,Intel,21510.0
